day,box1,box2,box3,box4,box5,box6,box7,box8,box9,box10,box11,box12,box13,box14,box15,box16,box17,box18,box19,box20,box21,box22,box23,box24,box25,box26,box27,box28,box29
57,0.25301,1.96759,2.13089,0.29440,1.74458,1.43341,0.31148,1.25353,1.36447,0.22171,0.34574,0.28725,0.27673,0.87601,0.61947,0.32523,0.49162,0.55393,0.70815,0.41874,0.80335,0.43324,0.99137,0.70449,1.03296,1.08403,1.54303,1.50770,1.91516
58,0.22591,2.04424,2.18783,0.22845,1.80099,1.48220,0.39969,1.33818,1.42512,0.19496,0.39503,0.25069,0.23270,0.91250,0.72787,0.25719,0.58164,0.60783,0.76098,0.47242,0.91164,0.47699,1.08520,0.34160,1.11050,0.94039,1.60614,1.56824,1.99355
59,0.27025,2.12100,2.23620,0.26765,1.86836,1.53156,0.47072,1.41573,1.46878,0.24545,0.47966,0.29569,0.25366,0.93982,0.83341,0.33624,0.68162,0.70304,0.84353,0.57139,1.00901,0.57015,1.18364,0.38303,1.14252,0.83088,1.66557,1.63567,2.08005
60,0.34370,2.20774,2.30694,0.36037,1.95518,1.59290,0.63252,1.49440,1.52361,0.32381,0.60454,0.36931,0.33211,0.94945,0.91556,0.42219,0.76616,0.77342,0.90222,0.66260,1.09123,0.65332,1.28308,0.66677,1.17650,0.86482,1.73939,1.71174,2.17438
61,0.41001,2.27638,2.35529,0.44664,2.01895,1.64545,0.56647,1.54300,1.53794,0.40790,0.63111,0.46459,0.40433,0.97871,0.95293,0.53684,0.80821,0.81014,0.94469,0.69584,1.13632,0.69308,1.33740,0.90412,1.16663,0.93140,1.79127,1.77020,2.23859
62,0.47182,2.38954,2.47707,0.51224,2.12604,1.74656,0.49338,1.60152,1.60145,0.47780,0.56395,0.55298,0.48298,1.08562,1.00179,0.55112,0.82393,0.84326,1.03794,0.69174,1.17585,0.69370,1.37472,1.04944,1.21436,1.10092,1.89556,1.86670,2.34169
63,0.48891,2.53967,2.62992,0.50151,2.25480,1.88196,0.69738,1.74433,1.75569,0.47002,0.71778,0.56301,0.50989,1.18359,1.13522,0.51237,0.98322,1.00747,1.13693,0.83338,1.30649,0.83187,1.51706,0.93563,1.37254,1.20638,2.03995,1.99623,2.48926
64,0.50095,2.69559,2.77310,0.47704,2.38851,1.99345,0.76423,1.87804,1.87864,0.44869,0.75808,0.56041,0.51401,1.26515,1.21277,0.45636,1.03253,0.98870,1.16190,0.87954,1.43390,0.84335,1.64674,0.67232,1.49568,1.18069,2.17402,2.12088,2.64059
65,0.46685,2.80462,2.85554,0.42954,2.47550,2.06570,0.68869,1.96575,1.93425,0.39718,0.67585,0.53732,0.47760,1.26783,1.25799,0.35309,1.04147,0.95353,1.16964,0.84719,1.51622,0.76998,1.73954,0.21612,1.53962,0.99126,2.26423,2.21273,2.74257
66,0.44248,2.91298,2.93628,0.41808,2.57064,2.14062,0.69340,2.04977,1.98273,0.37427,0.68831,0.52857,0.46287,1.23461,1.31279,0.30576,1.07882,0.98618,1.18493,0.88267,1.59100,0.80627,1.83301,0.13863,1.56395,0.83168,2.35820,2.31142,2.85953
67,0.44315,3.06728,3.07146,0.38367,2.73316,2.25086,0.74634,2.16143,2.10218,0.36100,0.73503,0.51538,0.44153,1.25921,1.34019,0.31358,1.09098,1.00292,1.13927,0.92928,1.68827,0.86488,1.96509,0.18520,1.65283,0.81157,2.49838,2.45020,3.03214
68,0.46090,3.20321,3.18763,0.37999,2.87810,2.35019,0.82697,2.26014,2.19375,0.39039,0.77977,0.50610,0.42187,1.29778,1.41807,0.46978,1.14851,1.05974,1.21785,0.94984,1.73948,0.89590,2.08028,0.19764,1.67747,0.78637,2.61284,2.57109,3.15487
