day,box1,box2,box3,box4,box5,box6,box7,box8,box9,box10,box11,box12,box13,box14,box15,box16,box17,box18,box19,box20,box21,box22,box23,box24,box25,box26,box27,box28,box29
54,25.82975,26.18087,22.89204,24.79604,23.52200,26.72808,24.49662,26.34221,23.69037,26.70221,24.21925,26.70625,24.97896,23.53804,24.00538,25.09596,23.85858,23.36992,23.20625,24.04442,24.53129,23.83996,25.38387,21.77929,23.84954,22.65346,24.18892,27.70054,31.25300
55,80.65529,89.30213,88.47696,85.31792,89.84154,90.86733,82.80133,91.05262,90.60938,79.44446,83.75987,83.32021,82.69650,88.75171,87.64454,87.62167,86.30221,86.19237,87.46654,84.97058,88.94479,84.91138,90.24000,89.82392,89.90996,89.90708,90.37029,90.75558,90.91083
56,82.68125,89.04392,89.07708,84.37129,87.99287,87.58988,83.27004,86.98038,86.38621,81.92208,83.40733,83.97854,83.60096,85.12358,84.80717,85.26617,84.15196,83.79775,84.30512,83.75962,85.61746,83.58637,86.38083,84.92275,85.83288,85.48808,87.32862,88.14142,88.25850
57,96.10454,101.01771,101.73046,97.19417,101.19442,99.89375,96.79608,99.63608,100.69254,95.95371,97.15483,96.65983,96.52275,99.42604,98.44542,97.92629,97.84762,98.07096,98.74529,97.48246,98.99346,97.58583,99.37846,101.36929,100.02058,100.74392,100.64279,100.19879,100.76375
58,14.23413,17.28162,17.23758,13.97429,16.36767,15.63100,14.22463,15.11567,15.51754,14.47583,14.26704,14.21021,14.04829,14.86425,14.38100,14.10979,14.18033,14.33867,14.56396,14.22342,14.61992,14.30471,14.81058,15.92946,15.12883,15.51133,15.77208,16.34983,17.92229
59,104.21108,109.30983,110.15392,105.98696,109.42387,108.02604,105.61742,107.71638,108.66913,103.47608,106.03871,104.69971,105.19583,107.88146,107.16446,106.59400,106.77725,107.05433,107.54188,106.39025,107.42433,106.52592,107.57146,109.36200,108.18754,108.81646,108.78496,108.28833,108.37058
60,25.62842,21.96504,22.49413,24.31842,22.77042,22.62542,25.28412,22.93596,23.45000,25.84783,25.02954,24.94017,25.15829,23.82783,23.86017,23.67000,24.17846,24.34446,24.07829,24.62292,23.55667,24.70996,23.22662,24.29467,23.59796,23.89112,22.96717,22.26404,21.69475
61,104.27763,95.85725,93.29500,102.52454,95.84308,99.94325,102.17804,101.01358,98.74254,105.20821,101.61779,104.54000,103.12042,99.65138,100.78346,102.20658,101.01567,100.24075,99.72354,101.33050,100.84208,100.96254,101.10012,96.79629,99.56246,98.14762,97.93375,99.16575,99.66525
62,118.51621,121.44583,122.10208,120.10792,122.01763,121.64304,119.31379,121.63204,121.80863,117.88042,119.57992,119.29642,119.33808,121.14500,120.77842,120.75204,120.36579,120.30792,120.72708,119.95417,121.14525,119.91679,121.44967,121.69362,121.50521,121.63908,121.85967,121.51808,120.64742
63,118.76104,126.13717,124.76288,121.05683,124.26612,124.87083,119.17633,124.31808,123.10604,117.99433,119.39263,120.28663,119.79571,121.74992,121.57233,122.34362,120.70746,120.09412,120.74383,120.01742,122.61396,119.70408,123.62025,120.67592,122.62292,121.87300,124.04987,125.53287,126.53354
64,98.73813,104.82292,108.62096,100.08308,107.06300,102.82192,99.60129,102.59179,105.37283,98.78904,100.16750,98.75538,99.14388,103.57800,102.08829,100.91675,101.30763,101.74596,102.74992,100.70871,102.65633,100.89092,102.78429,106.52400,104.28942,105.70113,105.57979,102.37050,98.80021
