day,box1,box2,box3,box4,box5,box6,box7,box8,box9,box10,box11,box12,box13,box14,box15,box16,box17,box18,box19,box20,box21,box22,box23,box24,box25,box26,box27,box28,box29
71,0.47089,0.47089,0.47089,0.47089,0.47089,0.47089,0.47089,0.47089,0.47089,0.47089,0.47089,0.47089,0.47089,0.47089,0.47089,0.47089,0.47089,0.47089,0.47089,0.47089,0.47089,0.47089,0.47089,0.47089,0.47089,0.47089,0.47089,0.47089,0.47089
72,0.47412,0.47412,0.47412,0.47412,0.47412,0.47412,0.47412,0.47412,0.47412,0.47412,0.47412,0.47412,0.47412,0.47412,0.47412,0.47412,0.47412,0.47412,0.47412,0.47412,0.47412,0.47412,0.47412,0.47412,0.47412,0.47412,0.47412,0.47412,0.47412
73,0.47735,0.47735,0.47735,0.47735,0.47735,0.47735,0.47735,0.47735,0.47735,0.47735,0.47735,0.47735,0.47735,0.47735,0.47735,0.47735,0.47735,0.47735,0.47735,0.47735,0.47735,0.47735,0.47735,0.47735,0.47735,0.47735,0.47735,0.47735,0.47735
74,0.48058,0.48058,0.48058,0.48058,0.48058,0.48058,0.48058,0.48058,0.48058,0.48058,0.48058,0.48058,0.48058,0.48058,0.48058,0.48058,0.48058,0.48058,0.48058,0.48058,0.48058,0.48058,0.48058,0.48058,0.48058,0.48058,0.48058,0.48058,0.48058
75,0.48381,0.48381,0.48381,0.48381,0.48381,0.48381,0.48381,0.48381,0.48381,0.48381,0.48381,0.48381,0.48381,0.48381,0.48381,0.48381,0.48381,0.48381,0.48381,0.48381,0.48381,0.48381,0.48381,0.48381,0.48381,0.48381,0.48381,0.48381,0.48381
76,0.48705,0.48705,0.48705,0.48705,0.48705,0.48705,0.48705,0.48705,0.48705,0.48705,0.48705,0.48705,0.48705,0.48705,0.48705,0.48705,0.48705,0.48705,0.48705,0.48705,0.48705,0.48705,0.48705,0.48705,0.48705,0.48705,0.48705,0.48705,0.48705
77,0.49029,0.49029,0.49029,0.49029,0.49029,0.49029,0.49029,0.49029,0.49029,0.49029,0.49029,0.49029,0.49029,0.49029,0.49029,0.49029,0.49029,0.49029,0.49029,0.49029,0.49029,0.49029,0.49029,0.49029,0.49029,0.49029,0.49029,0.49029,0.49029
78,0.49352,0.49352,0.49352,0.49352,0.49352,0.49352,0.49352,0.49352,0.49352,0.49352,0.49352,0.49352,0.49352,0.49352,0.49352,0.49352,0.49352,0.49352,0.49352,0.49352,0.49352,0.49352,0.49352,0.49352,0.49352,0.49352,0.49352,0.49352,0.49352
79,0.49676,0.49676,0.49676,0.49676,0.49676,0.49676,0.49676,0.49676,0.49676,0.49676,0.49676,0.49676,0.49676,0.49676,0.49676,0.49676,0.49676,0.49676,0.49676,0.49676,0.49676,0.49676,0.49676,0.49676,0.49676,0.49676,0.49676,0.49676,0.49676
80,0.50000,0.50000,0.50000,0.50000,0.50000,0.50000,0.50000,0.50000,0.50000,0.50000,0.50000,0.50000,0.50000,0.50000,0.50000,0.50000,0.50000,0.50000,0.50000,0.50000,0.50000,0.50000,0.50000,0.50000,0.50000,0.50000,0.50000,0.50000,0.50000
81,0.50324,0.50324,0.50324,0.50324,0.50324,0.50324,0.50324,0.50324,0.50324,0.50324,0.50324,0.50324,0.50324,0.50324,0.50324,0.50324,0.50324,0.50324,0.50324,0.50324,0.50324,0.50324,0.50324,0.50324,0.50324,0.50324,0.50324,0.50324,0.50324
82,0.50648,0.50648,0.50648,0.50648,0.50648,0.50648,0.50648,0.50648,0.50648,0.50648,0.50648,0.50648,0.50648,0.50648,0.50648,0.50648,0.50648,0.50648,0.50648,0.50648,0.50648,0.50648,0.50648,0.50648,0.50648,0.50648,0.50648,0.50648,0.50648
